Date,Username,Event Category,Event Action,Event Label,Total Events,Event Value
20211111,teacher1,Scroll_depth,horizontal,/student/,101,"5,850"
20211111,teacher1,Scroll_depth,vertical,/student/,101,"5,850"
20211116,abhinav1,Scroll_depth,horizontal,/student/,72,"4,200"
20211111,abhinav1,Scroll_depth,horizontal,/student/,63,"3,675"
20211111,abhinav1,Scroll_depth,vertical,/student/,63,"3,675"
20211116,abhinav1,Scroll_depth,vertical,/student/,56,"2,600"
20211111,abhinav1,Scroll_depth,horizontal,/student/studentForm/,42,"2,450"
20211111,abhinav1,Scroll_depth,vertical,/student/studentForm/,42,"2,450"
20211115,abhinav1,Scroll_depth,horizontal,/student/studentForm/,36,"2,100"
20211115,abhinav1,Scroll_depth,vertical,/student/studentForm/,36,"2,100"
20211117,abhinav1,Scroll_depth,horizontal,/student/,36,"2,100"
20211117,abhinav1,Scroll_depth,vertical,/student/,36,"2,100"
20211111,teacher1,Scroll_depth,horizontal,/student/studentForm/,30,"1,750"
20211111,teacher1,Scroll_depth,vertical,/student/studentForm/,30,"1,750"
20211115,abhinav1,Scroll_depth,horizontal,/student/,30,"1,750"
20211116,abhinav1,Scroll_depth,vertical,/student/studentForm/,30,"1,750"
20211117,abhinav1,Visit,2 or more min,/student/,30,0
20211116,abhinav1,Scroll_depth,horizontal,/student/studentForm/,29,"1,725"
20211115,abhinav1,Scroll_depth,vertical,/student/,27,"1,450"
20211116,teacher1,Scroll_depth,horizontal,/student/,25,"1,450"
20211112,abhinav1,Scroll_depth,horizontal,/student/,24,"1,400"
20211112,abhinav1,Scroll_depth,vertical,/student/,24,"1,400"
20211116,teacher1,Scroll_depth,horizontal,/graphic_designing/,21,"1,225"
20211116,teacher1,Scroll_depth,vertical,/graphic_designing/,21,"1,225"
20211111,abhinav1,Scroll_depth,horizontal,/digital_marketing/,18,"1,050"
20211111,abhinav1,Scroll_depth,vertical,/digital_marketing/,18,"1,050"
20211116,abhinav1,Scroll_depth,horizontal,/graphic_designing/,18,"1,050"
20211116,abhinav1,Scroll_depth,vertical,/graphic_designing/,18,"1,050"
20211116,teacher1,Scroll_depth,vertical,/student/,18,800
20211109,abhinav1,login-success,login,/student/,14,0
20211109,abhinav1,DeleteStudentRecord,click,/student/,12,0
20211111,abhinav1,Scroll_depth,horizontal,/graphic_designing/,12,700
20211111,abhinav1,Scroll_depth,vertical,/graphic_designing/,12,700
20211116,abhinav1,Javascript_error,Uncaught SyntaxError: Unexpected token '<',http://127.0.0.1:5000/student/'https://cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/toastr.min.js',12,23
20211117,abhinav1,Scroll_depth,horizontal,/student/studentForm/,12,700
20211117,abhinav1,Scroll_depth,vertical,/student/studentForm/,12,700
20211111,abhinav1,Scroll_depth,horizontal,/admin/,9,525
20211111,abhinav1,Scroll_depth,vertical,/admin/,9,525
20211111,teacher1,Scroll_depth,horizontal,/digital_marketing/,9,525
20211111,teacher1,Scroll_depth,vertical,/digital_marketing/,9,525
20211112,abhinav1,Scroll_depth,horizontal,/digital_marketing/,9,525
20211112,abhinav1,Scroll_depth,horizontal,/student/studentForm/,9,525
20211112,abhinav1,Scroll_depth,vertical,/digital_marketing/,9,525
20211112,abhinav1,Scroll_depth,vertical,/student/studentForm/,9,525
20211112,metric1,Scroll_depth,horizontal,/graphic_designing/,9,525
20211112,metric1,Scroll_depth,horizontal,/student/,9,525
20211112,metric1,Scroll_depth,vertical,/graphic_designing/,9,525
20211112,metric1,Scroll_depth,vertical,/student/,9,525
20211116,teacher1,Scroll_depth,horizontal,/student/studentForm/,9,525
20211116,teacher1,Scroll_depth,vertical,/student/studentForm/,9,525
20211117,abhinav1,Scroll_depth,horizontal,/admin/user_role_form/,9,525
20211117,abhinav1,Scroll_depth,vertical,/admin/user_role_form/,9,525
20211117,Aman123,Visit,2 or more min,/student/,9,0
20211115,Admin12,Javascript_error,Uncaught ReferenceError: hello is not defined,http://127.0.0.1:5000/static/custom.js,8,280
20211116,abhinav1,Visit,2 or more min,/student/,8,0
20211111,teacher1,DeleteStudentRecord,click,/student/,7,0
20211110,teacher1,Scroll_depth,horizontal,/student/,6,175
20211110,teacher1,Scroll_depth,vertical,/student/,6,175
20211111,abhinav1,Scroll_depth,horizontal,/admin/user_role_form/,6,350
20211111,abhinav1,Scroll_depth,vertical,/admin/user_role_form/,6,350
20211112,metric1,Scroll_depth,horizontal,/student/studentForm/,6,350
20211112,metric1,Scroll_depth,vertical,/student/studentForm/,6,350
20211115,abhinav1,Scroll_depth,horizontal,/admin/,6,350
20211115,abhinav1,Scroll_depth,vertical,/admin/,6,350
20211115,Admin12,Scroll_depth,horizontal,/admin/,6,350
20211115,Admin12,Scroll_depth,horizontal,/student/,6,350
20211115,Admin12,Scroll_depth,horizontal,/student/studentForm/,6,350
20211115,Admin12,Scroll_depth,vertical,/admin/,6,350
