date|user_id|platform|walletcard_id|pagename|metric_name|metric_value|guid
2021-12-22|1234|Web|12421425|Standard - Insurance Card - 60de01afd62125fda7ee66cc|pageviews|1|
2021-12-22|1234|Web|12421425|health wallet - Insurance Card - 60de01afd62125fda7ee66cc|pageviews|1|
2021-12-22|1234|Web|12421425|Standard - Insurance Card - 60de01afd62125fda7ee66cc|Delete Card|2|
2021-12-22|1234|Web|12421425|Standard - Insurance Card - 60de01afd62125fda7ee66cc|Save Card|3|
2021-12-22|1234|Web|12421425|Standard - Insurance Card - 60de01afd62125fda7ee66cc|Add Card|5|
2021-12-22|1234|Web|12421425|health - Insurance Card - 60de01afd62125fda7ee66cc|Add Card|5|
2021-12-22|1234|Web|1242142|Health Wallet - Card Detail - 5ff34ce2e53aff8d76879bef|pageviews|5|
2021-12-22|1234|Web|124214|Health Wallet - Card Detail - 5ff34ce2e53aff8d76879bef|Add Card|5|
2021-12-22|1234|Web|1242142|Health Wallet - Card Detail - 5ff34ce2e53aff8d76879bef|Delete Card|5|
2021-12-22|1234|Web|1242167|Standard - Insurance Card - 6091b9011d48f98845f91cf3|pageviews|5|
2021-12-22|1234|Web|12421425|Standard - Insurance Card - 6091b9011d48f98845f91cf3|Delete Card|1|
2021-12-22|1234|Web|1112e3|Standard - Insurance Card - 6091b9011d48f98845f91cf3|Save Card|7|
2021-12-22|1234|Web|1112e3|Standard - Insurance Card - 6091b9011d48f98845f91cf3|Add Card|1|
2021-12-22|1234|Web|090915|health wallet - Insurance Card - 60de01afdadfa5fda7ee66cc|pageviews|1|
2021-12-22|1234|Web|111125|health wallet - Insurance Card - 60de01afsv2125fda7ee66cc|pageviews|3|
2021-12-22|1234|Web|111125|health wallet - Insurance Card - 60de01afsv2125fda7ee66cc|Add Card|3|
2021-12-22|1234|Web|1242142|Health Wallet - Card Detail - 60d9d5421d48f9adcff92400|pageviews|5|
2021-12-22|1234|Web|124214|Health Wallet - Card Detail - 60d9d5421d48f9adcff92400|Add Card|5|
2021-12-22|1234|Web|1242142|Health Wallet - Card Detail - 60d9d5421d48f9adcff92400|Delete Card|5|
2021-12-22|1234|Web|1242142|Health Wallet - Card Detail - 60d9d5421d48f9adcff92400|Save Card|5|
