entity|metric_id|count|Missing_month|max_met|min_met
10500023|1000017|1|2022-05|17.0|1.0
13750054|1000017|1|2022-08|22.0|1.0
16250003|1000017|1|2022-03|110.0|1.0
16250005|1000017|1|2022-08|30.0|2.0
17000001|1000017|4|2022-07,2022-06,2022-05,2022-04|1014.0|77.0
17000001|1000020|4|2022-07,2022-06,2022-05,2022-04|1884.0|427.0
17000001|100002017|4|2022-07,2022-06,2022-05,2022-04|1884.0|427.0
17000001|100002018|4|2022-07,2022-06,2022-05,2022-04|1884.0|427.0
17000001|100002019|4|2022-07,2022-06,2022-05,2022-04|1031.0|3.0
17000001|100002020|4|2022-07,2022-06,2022-05,2022-04|622.0|9.0
17000001|100002021|4|2022-07,2022-06,2022-05,2022-04|584.0|4.0
17000001|100002022|5|2022-08,2022-07,2022-06,2022-05,2022-04|-3.4081|-3.4983
20000008|1000017|1|2022-11|18.0|2.0
20000020|1000017|1|2022-07|27.0|1.0
20000026|1000017|1|2022-03|110.0|1.0
20250001|1000017|1|2022-07|11.0|1.0
20250004|1000017|1|2021-12|15.0|1.0
20250005|1000017|1|2022-10|21.0|1.0
20250020|1000017|1|2022-06|24.0|1.0
20250027|1000017|1|2022-09|27.0|1.0
20500009|1000017|1|2022-04|72.0|1.0
20500025|1000017|1|2022-11|7.0|1.0
20500036|1000017|1|2022-09|11.0|1.0
20750003|1000017|1|2022-11|38.0|1.0
20750015|1000017|1|2022-11|30.0|1.0
20750016|1000017|1|2022-12|16.0|1.0
20750031|1000017|1|2022-07|44.0|1.0
21000018|1000017|3|2022-05,2022-04,2022-03|39.0|1.0
21000029|1000017|1|2022-12|37.0|1.0
21750009|1000017|1|2022-12|30.0|1.0
28750014|1000017|1|2022-07|129.0|2.0
37500002|1000017|1|2022-04|67.0|1.0
52250007|1000017|1|2022-04|23.0|1.0
53750015|1000017|1|2022-04|60.0|1.0
58250001|1000017|2|2022-04,2022-03|49.0|1.0
58250041|1000017|1|2022-07|15.0|1.0
60000018|1000017|1|2022-06|27.0|1.0
66000001|1000017|2|2021-12,2021-11|13.0|1.0
66500006|1000017|1|2022-09|33.0|1.0
66500008|1000017|1|2022-12|31.0|1.0
77750001|1000017|1|2022-12|19.0|3.0
108000001|1000017|4|2022-09,2022-08,2022-07,2022-06|97.0|25.0
108000001|1000020|4|2022-09,2022-08,2022-07,2022-06|171.0|97.0
108000001|100002017|4|2022-09,2022-08,2022-07,2022-06|171.0|97.0
108000001|100002018|4|2022-09,2022-08,2022-07,2022-06|171.0|97.0
108000001|100002019|4|2022-09,2022-08,2022-07,2022-06|144.0|17.0
108000001|100002020|4|2022-09,2022-08,2022-07,2022-06|49.0|4.0
108000001|100002021|2|2022-07,2022-06|60.0|1.0
108000001|100002022|2|2022-07,2022-06|-4.4415|-4.4633
164750001|1000017|3|2022-09,2022-08,2022-07|460.0|65.0
164750001|1000020|3|2022-09,2022-08,2022-07|621.0|460.0
164750001|100002017|3|2022-09,2022-08,2022-07|621.0|460.0
164750001|100002018|3|2022-09,2022-08,2022-07|592.0|19.0
164750001|100002019|3|2022-09,2022-08,2022-07|330.0|7.0
164750001|100002020|3|2022-09,2022-08,2022-07|194.0|7.0
164750001|100002021|3|2022-09,2022-08,2022-07|223.0|8.0
164750001|100002022|3|2022-09,2022-08,2022-07|-3.4119|-3.4311
276500003|1000017|1|2022-12|142.0|1.0
276500011|1000017|1|2021-12|399.0|1.0
276500019|1000017|1|2022-06|415.0|2.0
276500030|1000017|2|2022-01,2021-12|327.0|3.0
276500030|1000020|1|2022-01|1110.0|1017.0
276500030|100002017|1|2022-01|864.0|37.0
276500030|100002018|1|2022-01|781.0|1.0
276500030|100002019|1|2022-01|584.0|471.0
276500030|100002020|1|2022-01|310.0|5.0
276500030|100002021|1|2022-01|389.0|8.0
276500030|100002022|1|2022-01|-3.8982|-4.0196
276500038|1000017|1|2021-12|11.0|1.0
276500045|1000017|1|2022-12|198.0|2.0
315250001|1000017|1|2022-02|231.0|1.0
315250001|1000020|1|2022-02|800.0|1.0
315250001|100002017|1|2022-02|800.0|1.0
315250001|100002018|1|2022-02|790.0|1.0
315250001|100002019|1|2022-02|503.0|1.0
315250001|100002020|1|2022-02|221.0|1.0
315250001|100002021|1|2022-02|687.0|4.0
315250001|100002022|1|2022-02|-3.5578|-3.7396
352000002|1000017|1|2022-05|20.0|2.0
20500001|100002017|4|2022-04,2022-03,2022-02,2022-01|259.0|1.0
28000001|100002017|1|2022-01|63.0|2.0
54750006|100002017|1|2022-01|209.0|115.0
58250036|100002017|1|2022-01|146.0|1.0
58250042|100002017|3|2022-03,2022-02,2022-01|99.0|1.0
69000001|100002017|4|2022-04,2022-03,2022-02,2022-01|149.0|89.0
69000002|100002017|4|2022-04,2022-03,2022-02,2022-01|58.0|2.0
