entity|metric_id|count|Missing_month|max_met|min_met
62000001|100003043|6|2022-07,2022-06,2022-05,2022-04,2022-03,2022-02|70.0|64.0
50250002|100003042|1|2022-11|72.0|37.0
94250002|100003042|4|2022-11,2022-10,2022-09,2022-08|74.0|48.0
50250002|100003041|1|2022-11|74.0|39.0
94250002|100003041|4|2022-11,2022-10,2022-09,2022-08|80.0|54.0
57250016|100003001|1|2022-08|358.0|72.0
57250016|100003042|1|2022-08|551.0|367.0
57250016|100003041|1|2022-08|589.0|405.0
47500002|100003045|9|2022-10,2022-09,2022-08,2022-07,2022-06,2022-05,2022-04,2022-03,2022-02|614.0|125.0
62000001|100003044|6|2022-07,2022-06,2022-05,2022-04,2022-03,2022-02|942.0|651.0
70000001|100003001|4|2022-11,2022-10,2022-08,2022-02|990.0|801.0
72250002|100003001|4|2022-11,2022-10,2022-08,2022-02|993.0|801.0
47500002|100003025|1|2022-09|13088.0|455.0
47500002|100003024|1|2022-09|16192.0|22.0
62000001|100003042|6|2022-07,2022-06,2022-05,2022-04,2022-03,2022-02|25719.0|14402.0
62000001|100003041|6|2022-07,2022-06,2022-05,2022-04,2022-03,2022-02|25787.0|14467.0
47500002|100003004|7|2022-09,2022-07,2022-06,2022-05,2022-04,2022-03,2022-02|346300.0|1072.0
47500002|100003042|7|2022-09,2022-07,2022-06,2022-05,2022-04,2022-03,2022-02|925050.0|2402.0
47500002|100003041|7|2022-09,2022-07,2022-06,2022-05,2022-04,2022-03,2022-02|935118.0|2405.0
47500002|100003001|7|2022-09,2022-07,2022-06,2022-05,2022-04,2022-03,2022-02|1081782.0|1281.0
