#|Country,Other|TotalCases|NewCases|TotalDeaths|NewDeaths|TotalRecovered|NewRecovered|ActiveCases|Serious,Critical|Tot Cases/1M pop|Deaths/1M pop|TotalTests|"Tests/
1M pop"|Population|1 Caseevery X ppl|1 Deathevery X ppl|1 Testevery X ppl|New Cases/1M pop|New Deaths/1M pop|Active Cases/1M pop
1|USA|38,814,596||646,667||30,570,229||7,597,700|23,660|116,483|1,941|569,066,355|1,707,779|333,220,183|9|515|1|||22,801
15|Mexico|3,231,616|+6,543|253,526|+371|2,571,981|+18,355|406,109|4,798|24,767|1,943|9,435,061|72,311|130,479,115|40|515|14|50|3|3,112
26|Canada|1,473,624||26,814||1,422,576||24,234|274|38,657|703|39,932,569|1,047,548|38,120,030|26|1,422|1|||636
47|Cuba|592,619||4,618||538,043||49,958|494|52,357|408|7,538,108|665,986|11,318,710|19|2,451|2|||4,414
55|Panama|452,986||7,015||436,866||9,105|108|103,134|1,597|3,592,540|817,932|4,392,224|10|626|1|||2,073
56|Costa Rica|445,442||5,361||357,239||82,842|427|86,540|1,042|1,968,955|382,527|5,147,233|12|960|3|||16,094
58|Guatemala|440,007||11,516||379,835||48,656|5|24,053|630|2,096,054|114,581|18,293,284|42|1,589|9|||2,660
67|Dominican Republic|348,026||3,994||339,309||4,723|136|31,719|364|1,932,424|176,122|10,972,102|32|2,747|6|||430
70|Honduras|329,691|+1,141|8,670|+27|105,585|+363|215,436|624|32,694|860|952,984|94,502|10,084,245|31|1,163|11|113|3|21,364
107|El Salvador|92,686||2,855|+9|79,029||10,802|152|14,208|438|1,192,402|182,783|6,523,601|70|2,285|5||1|1,656
115|Jamaica|62,712||1,402||47,787||13,523|60|21,073|471|533,840|179,386|2,975,937|47|2,123|6|||4,544
123|Trinidad and Tobago|43,145||1,237||36,717||5,191|22|30,715|881|297,206|211,585|1,404,668|33|1,136|5|||3,696
126|Guadeloupe|40,018||324||2,250||37,444|23|99,995|810|335,167|837,495|400,202|10|1,235|1|||93,563
133|Martinique|31,369||243||104||31,022|1|83,666|648|292,898|781,203|374,932|12|1,543|1|||82,740
139|Haiti|20,746||583||16,986||3,177||1,794|50|105,799|9,151|11,561,156|557|19,830|109|||275
144|Bahamas|17,386||338||13,712||3,336|16|43,735|850|130,339|327,869|397,534|23|1,176|3|||8,392
148|Belize|15,556||353||14,262||941|6|38,329|870|210,055|517,560|405,856|26|1,150|2|||2,319
150|Curaçao|14,974||138||14,298||538|4|90,829|837|224,323|1,360,688|164,860|11|1,195|1|||3,263
154|Aruba|14,060||128||13,200||732|14|131,054|1,193|177,885|1,658,076|107,284|8|838|1|||6,823
164|Nicaragua|10,672||198||4,225||6,249||1,589|29|||6,714,502|629|33,912||||931
171|Saint Lucia|7,232||97||5,700||1,435|4|39,180|526|65,853|356,761|184,586|26|1,903|3|||7,774
181|Barbados|4,652||48||4,454||150||16,165|167|248,865|864,784|287,777|62|5,995|1|||521
183|Sint Maarten|3,472||43||3,109||320|2|79,941|990|37,841|871,270|43,432|13|1,010|1|||7,368
187|Saint Martin|3,094||41||1,399||1,654|7|78,492|1,040|52,859|1,340,986|39,418|13|961|1|||41,961
188|Bermuda|2,750||33||2,593||124|1|44,344|532|436,268|7,034,879|62,015|23|1,879|0|||2,000
189|Turks and Caicos|2,613||20||2,503||90|1|66,463|509|94,789|2,411,014|39,315|15|1,966|0|||2,289
191|British Virgin Islands|2,568||37||2,500||31|7|84,305|1,215|77,252|2,536,095|30,461|12|823|0|||1,018
193|St. Vincent Grenadines|2,320||12||2,261||47|2|20,837|108|64,768|581,698|111,343|48|9,279|2|||422
195|Caribbean Netherlands|1,776||17||1,721||38||67,016|641|20,707|781,367|26,501|15|1,559|1|||1,434
196|Antigua and Barbuda|1,540||43||1,313||184|9|15,578|435|17,409|176,106|98,855|64|2,299|6|||1,861
197|St. Barth|1,489||2||462||1,025||150,237|202|38,369|3,871,355|9,911|7|4,956|0|||103,420
199|Dominica|1,339||1||794||544||18,548|14|41,298|572,074|72,190|54|72,190|2|||7,536
201|Saint Kitts and Nevis|823||3||604||216|1|15,346|56|28,471|530,888|53,629|65|17,876|2|||4,028
203|Cayman Islands|663||2||649||12||9,955|30|124,033|1,862,273|66,603|100|33,302|1|||180
205|Greenland|305||||218||87|2|5,362||55,170|969,886|56,883|187||1|||1,529
206|Grenada|230||1||185||44||2,033|9|55,297|488,839|113,119|492|113,119|2|||389
207|Anguilla|166||||135||31||10,953||37,111|2,448,601|15,156|91||0|||2,045
211|Saint Pierre Miquelon|30||||30||0||5,207||7,800|1,353,697|5,762|192||1|||
213|Montserrat|25||1||20||4||5,005|200|1,408|281,882|4,995|200|4,995|4|||801
2|USA|38,814,596|+111,134|646,667|+406|30,570,229|+73,978|7,597,700|23,660|116,483|1,941|569,066,355|1,707,779|333,220,183|9|515|1|334|1|22,801
16|Mexico|3,225,073|+7,658|253,155|+228|2,553,626|+15,619|418,292|4,798|24,717|1,940|9,420,060|72,196|130,479,115|40|515|14|59|2|3,206
27|Canada|1,473,624|+4,811|26,814|+22|1,422,576|+5,313|24,234|274|38,657|703|39,932,569|1,047,548|38,120,030|26|1,422|1|126|0.6|636
48|Cuba|592,619|+9,320|4,618|+74|538,043|+7,832|49,958|494|52,357|408|7,538,108|665,986|11,318,710|19|2,451|2|823|7|4,414
56|Panama|452,986|+388|7,015|+6|436,866|+581|9,105|108|103,134|1,597|3,592,540|817,932|4,392,224|10|626|1|88|1|2,073
57|Costa Rica|445,442|+1,480|5,361|+19|357,239|+1,087|82,842|427|86,540|1,042|1,968,955|382,527|5,147,233|12|960|3|288|4|16,094
59|Guatemala|440,007|+754|11,516|+16|379,835|+2,281|48,656|5|24,053|630|2,096,054|114,581|18,293,284|42|1,589|9|41|0.9|2,660
68|Dominican Republic|348,026|+191|3,994|+5|339,309|+312|4,723|136|31,719|364|1,932,424|176,122|10,972,102|32|2,747|6|17|0.5|430
71|Honduras|328,550|+725|8,643|+21|105,222||214,685|552|32,581|857|945,963|93,806|10,084,245|31|1,167|11|72|2|21,289
108|El Salvador|92,686||2,846|+6|79,029||10,811|152|14,208|436|1,192,402|182,783|6,523,601|70|2,292|5||0.9|1,657
116|Jamaica|62,712|+879|1,402|+14|47,787|+66|13,523|60|21,073|471|533,840|179,386|2,975,937|47|2,123|6|295|5|4,544
124|Trinidad and Tobago|43,145|+112|1,237|+12|36,717|+249|5,191|22|30,715|881|297,206|211,585|1,404,668|33|1,136|5|80|9|3,696
127|Guadeloupe|40,018||324||2,250||37,444|23|99,995|810|335,167|837,495|400,202|10|1,235|1|||93,563
134|Martinique|31,369||243||104||31,022|1|83,666|648|292,898|781,203|374,932|12|1,543|1|||82,740
140|Haiti|20,746|+27|583||16,986|+307|3,177||1,794|50|105,799|9,151|11,561,156|557|19,830|109|2||275
145|Bahamas|17,386|+108|338|+8|13,712|+8|3,336|16|43,735|850|130,339|327,869|397,534|23|1,176|3|272|20|8,392
149|Belize|15,556|+141|353|+2|14,262|+113|941|6|38,329|870|210,055|517,560|405,856|26|1,150|2|347|5|2,319
151|Curaçao|14,974|+37|138|+1|14,298|+58|538|4|90,829|837|224,323|1,360,688|164,860|11|1,195|1|224|6|3,263
155|Aruba|14,060|+57|128|+2|13,200|+70|732|14|131,054|1,193|177,885|1,658,076|107,284|8|838|1|531|19|6,823
165|Nicaragua|10,672||198||4,225||6,249||1,589|29|||6,714,502|629|33,912||||931
172|Saint Lucia|7,232|+121|97||5,700|+6|1,435|4|39,180|526|65,853|356,761|184,586|26|1,903|3|656||7,774
182|Barbados|4,652|+12|48||4,454||150||16,165|167|248,865|864,784|287,777|62|5,995|1|42||521
184|Sint Maarten|3,472|+78|43|+1|3,109|+72|320|2|79,941|990|37,841|871,270|43,432|13|1,010|1|1,796|23|7,368
187|Saint Martin|3,094||41||1,399||1,654|7|78,492|1,040|52,859|1,340,986|39,418|13|961|1|||41,961
189|Bermuda|2,750||33||2,593||124|1|44,344|532|436,268|7,034,879|62,015|23|1,879|0|||2,000
190|Turks and Caicos|2,613|+1|20||2,503||90|1|66,463|509|94,789|2,411,014|39,315|15|1,966|0|25||2,289
192|British Virgin Islands|2,568||37||2,500||31|7|84,305|1,215|77,252|2,536,095|30,461|12|823|0|||1,018
194|St. Vincent Grenadines|2,320||12||2,261||47|2|20,837|108|64,768|581,698|111,343|48|9,279|2|||422
196|Caribbean Netherlands|1,776|+2|17||1,721||38||67,016|641|20,707|781,367|26,501|15|1,559|1|75||1,434
197|Antigua and Barbuda|1,540|+50|43||1,313|+14|184|9|15,578|435|17,409|176,106|98,855|64|2,299|6|506||1,861
198|St. Barth|1,489||2||462||1,025||150,237|202|38,369|3,871,355|9,911|7|4,956|0|||103,420
200|Dominica|1,339||1||794||544||18,548|14|41,298|572,074|72,190|54|72,190|2|||7,536
202|Saint Kitts and Nevis|823||3||604||216|1|15,346|56|28,471|530,888|53,629|65|17,876|2|||4,028
204|Cayman Islands|663||2||649||12||9,955|30|124,033|1,862,273|66,603|100|33,302|1|||180
206|Greenland|305|+7|||218|+6|87|2|5,362||55,170|969,886|56,883|187||1|123||1,529
207|Grenada|230|+8|1||185|+3|44||2,033|9|55,297|488,839|113,119|492|113,119|2|71||389
208|Anguilla|166||||135||31||10,953||37,111|2,448,601|15,156|91||0|||2,045
212|Saint Pierre Miquelon|30||||30||0||5,207||7,800|1,353,697|5,762|192||1|||
214|Montserrat|25||1||20||4||5,005|200|1,408|281,882|4,995|200|4,995|4|||801
2|USA|38,703,462|+117,557|646,261|+391|30,496,251|+21,723|7,560,950|23,319|116,150|1,939|567,250,481|1,702,329|333,220,183|9|516|1|353|1|22,691
16|Mexico|3,217,415|+20,307|252,927|+847|2,538,007|+16,910|426,481|4,798|24,658|1,938|9,404,287|72,075|130,479,115|41|516|14|156|6|3,269
27|Canada|1,468,813|+1,505|26,792|+2|1,417,263|+533|24,758|274|38,531|703|39,731,231|1,042,267|38,120,030|26|1,423|1|39|0.05|649
48|Cuba|583,299|+9,548|4,544|+63|530,211|+7,981|48,544|505|51,534|401|7,490,885|661,814|11,318,710|19|2,491|2|844|6|4,289
56|Panama|452,598|+614|7,009|+6|436,285|+682|9,304|108|103,045|1,596|3,587,112|816,696|4,392,224|10|627|1|140|1|2,118
57|Costa Rica|443,962|+1,267|5,342|+12|356,152|+1,410|82,468|420|86,253|1,038|1,968,955|382,527|5,147,233|12|964|3|246|2|16,022
59|Guatemala|439,253|+1,334|11,500|+50|377,554|+2,063|50,199|5|24,012|629|2,093,500|114,441|18,293,284|42|1,591|9|73|3|2,744
68|Dominican Republic|347,835|+198|3,989||338,997|+490|4,849|133|31,702|364|1,928,791|175,790|10,972,102|32|2,751|6|18||442
71|Honduras|327,825|+995|8,622|+28|105,222|+69|213,981|552|32,509|855|945,963|93,806|10,084,245|31|1,170|11|99|3|21,219
108|El Salvador|92,686||2,840|+9|79,029||10,817|152|14,208|435|1,192,402|182,783|6,523,601|70|2,297|5||1|1,658
116|Jamaica|61,833|+551|1,388|+17|47,721|+46|12,724|56|20,778|466|531,130|178,475|2,975,937|48|2,144|6|185|6|4,276
124|Trinidad and Tobago|43,033|+71|1,225|+6|36,468|+283|5,340|22|30,636|872|296,840|211,324|1,404,668|33|1,147|5|51|4|3,802
127|Guadeloupe|40,018||324||2,250||37,444|23|99,995|810|335,167|837,495|400,202|10|1,235|1|||93,563
134|Martinique|31,369||243||104||31,022|1|83,666|648|292,898|781,203|374,932|12|1,543|1|||82,740
140|Haiti|20,719||583||16,679||3,457||1,792|50|105,799|9,151|11,561,156|558|19,830|109|||299
145|Bahamas|17,278|+316|330||13,704|+165|3,244|16|43,463|830|128,688|323,716|397,534|23|1,205|3|795||8,160
149|Belize|15,415||351||14,149||915|6|37,981|865|206,689|509,267|405,856|26|1,156|2|||2,254
