#|Country,Other|TotalCases|NewCases|TotalDeaths|NewDeaths|TotalRecovered|NewRecovered|ActiveCases|Serious,Critical|Tot Cases/1M pop|Deaths/1M pop|TotalTests|"Tests/1M pop"|Population|Continent|1 Caseevery X ppl|1 Deathevery X ppl|1 Testevery X ppl|New Cases/1M pop|New Deaths/1M pop|Active Cases/1M pop
|North America|46,228,068|+7,779|974,104|+234|36,857,992|+15,625|8,395,972|30,427||||||North America||||||
|Asia|67,920,263|+104,770|999,612|+1,754|63,217,908|+122,421|3,702,743|41,660||||||Asia||||||
|South America|36,604,486|+249|1,120,937|+6|34,343,080|+770|1,140,469|23,983||||||South America||||||
|Europe|54,223,115|+23,454|1,160,589|+826|49,119,461|+23,306|3,943,065|10,198||||||Europe||||||
|Africa|7,575,977|+1,726|189,672|+35|6,676,075|+1,767|710,230|4,913||||||Africa||||||
|Oceania|146,978|+1,521|1,911|+9|106,142|+616|38,925|450||||||Australia/Oceania||||||
|World|212,699,608|+139,499|4,446,840|+2,864|190,321,364|+164,505|17,931,404|111,631|27,287|570.5||||All||||||
1|USA|38,545,144||645,058||30,472,804||7,427,282|23,302|115,677|1,936|566,435,673|1,699,911|333,214,890|North America|9|517|1|||22,290
2|India|32,449,306|+337|434,784||31,680,626|+7,523|333,896|8,944|23,254|312|507,551,399|363,717|1,395,457,353|Asia|43|3,210|3|0.2||239
3|Brazil|20,570,891||574,574||19,448,816||547,501|8,318|96,000|2,681|56,580,445|264,048|214,281,173|South America|10|373|4|||2,555
4|Russia|6,766,541|+19,454|176,820|+776|6,034,867|+15,401|554,854|2,300|46,344|1,211|175,500,000|1,202,007|146,005,843|Europe|22|826|1|133|5|3,800
5|France|6,619,611||113,311||6,038,492||467,808|1,807|101,158|1,732|111,773,788|1,708,081|65,438,227|Europe|10|578|1|||7,149
6|UK|6,492,906||131,640||5,056,571||1,304,695|928|95,075|1,928|260,932,495|3,820,808|68,292,493|Europe|11|519|0|||19,105
7|Turkey|6,215,663||54,533||5,708,549||452,581|633|72,806|639|73,815,446|864,628|85,372,527|Asia|14|1,566|1|||5,301
8|Argentina|5,133,831||110,352||4,814,020||209,459|3,298|112,416|2,416|21,325,706|466,971|45,668,187|South America|9|414|2|||4,587
9|Colombia|4,889,537||124,216||4,718,500||46,821|8,155|94,942|2,412|23,754,923|461,256|51,500,501|South America|11|415|2|||909
10|Spain|4,770,453||83,136||4,078,846||608,471|1,818|101,986|1,777|59,650,532|1,275,253|46,775,436|Europe|10|563|1|||13,008
11|Iran|4,677,114||102,038||3,932,472||642,604|7,662|54,885|1,197|27,666,082|324,656|85,216,720|Asia|18|835|3|||7,541
12|Italy|4,484,613||128,751||4,220,924||134,938|472|74,297|2,133|82,003,364|1,358,563|60,360,383|Europe|13|469|1|||2,236
13|Indonesia|3,989,060|+9,604|127,214|+842|3,571,082|+24,758|290,764||14,410|460|30,705,570|110,924|276,817,411|Asia|69|2,176|9|35|3|1,050
14|Germany|3,876,024||92,478||3,702,100|+3,500|81,446|712|46,094|1,100|68,329,706|812,584|84,089,414|Europe|22|909|1|||969
15|Mexico|3,225,073|+7,658|253,155|+228|2,553,626|+15,619|418,292|4,798|24,718|1,940|9,420,060|72,198|130,475,416|North America|40|515|14|59|2|3,206
16|Poland|2,886,805|+107|75,316||2,656,317|+174|155,172|38|76,372|1,993|19,475,420|515,232|37,799,317|Europe|13|502|2|3||4,105
17|South Africa|2,690,973||79,421||2,444,409||167,143|546|44,730|1,320|16,003,114|266,010|60,159,918|Africa|22|757|4|||2,778
18|Ukraine|2,275,171|+610|53,474|+17|2,201,433|+434|20,264|177|52,383|1,231|11,827,261|272,306|43,433,788|Europe|19|812|4|14|0.4|467
19|Peru|2,142,153||197,879||N/A|N/A|N/A|1,459|63,955|5,908|16,425,523|490,394|33,494,569|South America|16|169|2|||6,676
20|Netherlands|1,918,769||17,953||1,815,715||85,101|208|111,698|1,045|16,378,211|953,435|17,178,109|Europe|9|957|1|||4,954
21|Philippines|1,857,646|+18,332|31,961|+151|1,695,335|+13,794|130,350|2,936|16,699|287|18,111,151|162,810|111,241,145|Asia|60|3,481|6|165|1|1,172
22|Iraq|1,825,089||20,184||1,659,168||145,737|1,017|44,247|489|13,966,576|338,601|41,247,882|Asia|23|2,044|3|||3,533
23|Czechia|1,677,619|+107|30,385||1,645,507|+3|1,727|8|156,325|2,831|35,263,872|3,285,973|10,731,639|Europe|6|353|0|10||161
24|Chile|1,633,816||36,650||1,590,252||6,914|842|84,640|1,899|19,843,774|1,028,008|19,303,137|South America|12|527|1|||358
25|Malaysia|1,572,765|+17,672|14,342|+174|1,297,723|+19,053|260,700|1,040|47,895|437|21,424,251|652,422|32,838,042|Asia|21|2,290|2|538|5|7,939
26|Canada|1,468,813||26,792||1,417,263||24,758|274|38,532|703|39,731,231|1,042,291|38,119,126|North America|26|1,423|1|||649
27|Bangladesh|1,461,998||25,282||1,363,874||72,842|1,422|8,778|152|8,649,517|51,931|166,558,093|Asia|114|6,588|19|||437
28|Japan|1,300,353|+22,285|15,631|+35|1,066,309|+14,088|218,413|1,898|10,317|124|20,666,268|163,973|126,034,587|Asia|97|8,063|6|177|0.3|1,733
29|Belgium|1,163,726||25,320||1,083,370||55,036|178|99,915|2,174|18,240,201|1,566,069|11,647,125|Europe|10|460|1|||4,725
30|Pakistan|1,127,584|+3,772|25,003|+80|1,012,662|+3,107|89,919|5,390|4,994|111|17,276,450|76,523|225,768,142|Asia|200|9,030|13|17|0.4|398
31|Sweden|1,116,584||14,629||1,082,660|+445|19,295|30|109,781|1,438|11,536,406|1,134,241|10,171,034|Europe|9|695|1|||1,897
32|Romania|1,091,340|+415|34,425|+13|1,052,055|+68|4,860|193|57,165|1,803|11,205,580|586,951|19,091,162|Europe|17|555|2|22|0.7|255
33|Thailand|1,066,786|+17,491|9,562|+242|861,770|+22,134|195,454|5,615|15,240|137|8,129,670|116,139|69,999,708|Asia|66|7,321|9|250|3|2,792
34|Portugal|1,019,420||17,639||956,316||45,465|152|100,309|1,736|16,510,990|1,624,653|10,162,779|Europe|10|576|1|||4,474
35|Israel|994,615|+1,446|6,830||919,984|+2,166|67,801|670|106,650|732|18,484,044|1,981,991|9,326,000|Asia|9|1,365|1|155||7,270
36|Hungary|811,121|+340|30,052|+6|771,530|+1,753|9,539|10|84,208|3,120|6,492,441|674,024|9,632,358|Europe|12|321|1|35|0.6|990
37|Morocco|810,949||11,792||724,545||74,612|1,442|21,678|315|8,642,296|231,024|37,408,659|Africa|46|3,172|4|||1,995
38|Jordan|789,474||10,293||766,871||12,310|652|76,511|998|8,997,227|871,951|10,318,498|Asia|13|1,002|1|||1,193
39|Switzerland|752,761||10,941||700,097||41,723|146|86,259|1,254|9,481,152|1,086,448|8,726,741|Europe|12|798|1|||4,781
40|Nepal|747,433||10,509||698,173||38,751||25,138|353|3,830,691|128,838|29,732,721|Asia|40|2,829|8|||1,303
41|Kazakhstan|743,220|+6,314|8,415|+113|615,816|+5,097|118,989|221|39,050|442|11,575,012|608,174|19,032,410|Asia|26|2,262|2|332|6|6,252
42|Serbia|742,313||7,214||715,825||19,274|31|85,351|829|4,903,335|563,783|8,697,200|Europe|12|1,206|2|||2,216
