date|prop28|prop31|prop16|prop8|event_name|event_value
2021-04-28|7985e0de-ec51-428c-ae66-64756aac1cab|iOS|"title EN-US||body EN-US"|insights|event16|9
2021-04-28|fe03fc7b-cc47-4b2a-9c5e-8a6fdeb37ec2|iOS|"Congratulations!||See what you just earned."|insights|event16|5
2021-04-28|fe03fc7b-cc47-4b2a-9c5e-8a6fdeb37ec2|iOS|"Hi||EN click it"|dailyReminder|event16|1
2021-04-28|4f272125-ca5b-4fc6-ab10-864e228e6d6b|iOS|"Congratulations!||See what you just earned."|insights|event16|6
2021-04-28|0fc8371f-66f5-464e-9d5f-6a12892e8561|Android|"Congratulations!|none|See what you just earned."|insights|event16|5
2021-04-28|5f9e1303-57cf-48b3-9881-397707fc377d|iOS|"EN_US - Title||EN test test test test test test test test test test test test test test test test te"|none|event16|2
2021-04-28|c1b70064-7d7e-4e2c-9411-38a23c20f5de|iOS|"Take the First Step has now started.||Start Tracking!"|challenges|event16|1
2021-04-28|90d07722-27ea-4435-9390-e36b8bd55abb|iOS|"Take the First Step||This challenge ends soon. Make sure you track!"|challengeEnding|event16|1
2021-04-28|7985e0de-ec51-428c-ae66-64756aac1cab|iOS|"title EN-US||body EN-US"|insights|event91|69
2021-04-28|fe03fc7b-cc47-4b2a-9c5e-8a6fdeb37ec2|iOS|"Congratulations!||See what you just earned."|insights|event91|27
2021-04-28|fe03fc7b-cc47-4b2a-9c5e-8a6fdeb37ec2|iOS|"Hi||EN click it"|dailyReminder|event91|1
2021-04-28|4f272125-ca5b-4fc6-ab10-864e228e6d6b|iOS|"Congratulations!||See what you just earned."|insights|event91|3
2021-04-28|0fc8371f-66f5-464e-9d5f-6a12892e8561|Android|"Congratulations!|none|See what you just earned."|insights|event91|17
2021-04-28|7985e0de-ec51-428c-ae66-64756aac1cab|iOS|"Way to go!||Find out what you just earned for completing a healthy activity"|rewards|event91|2
2021-04-28|82bea524-b26a-43d4-95b9-f9326d892280|Android|"Congratulations!|none|See what you just earned."|insights|event91|5
2021-04-28|be4c0175-9143-4899-afad-816a045c3405|Android|"Take the First Step has now started.|none|Start Tracking!"|challenges|event91|1
2021-04-28|0d12b522-80ce-425b-9d08-c9429b3871c2|iOS|"Congratulations!||See what you just earned."|insights|event91|2
2021-04-28|0d12b522-80ce-425b-9d08-c9429b3871c2|iOS|"Hi||EN click it"|insights|event91|1
2021-04-28|6d35437f-4100-4b1a-bc4c-29a2d789cd9a|Android|"This Will Lower Your Cholesterol Naturally|none|Push 1"|none|event91|1
2021-04-28|6d35437f-4100-4b1a-bc4c-29a2d789cd9a|Android|"1|none|1"|none|event91|1
2021-04-28|6d35437f-4100-4b1a-bc4c-29a2d789cd9a|Android|"sanity test|none|US staging only"|none|event91|1
