datetime|datetime_friendly|prop28|prop31|prop16|prop8|event16
2021-04-28|Wed. 28 Apr. 2021|::unspecified::|Android|::unspecified::|healthDataUpdates|6
2021-04-28|Wed. 28 Apr. 2021|::unspecified::|Android|::unspecified::|rewards|1
2021-04-28|Wed. 28 Apr. 2021|::unspecified::|Android|"Meet your weight loss goals with Scale Back|none|Enroll now and receive a FREE digital scale. Attend"|none|2
2021-04-28|Wed. 28 Apr. 2021|::unspecified::|iOS|::unspecified::|healthDataUpdates|5
2021-04-28|Wed. 28 Apr. 2021|::unspecified::|iOS|::unspecified::|rewards|3
2021-04-28|Wed. 28 Apr. 2021|::unspecified::|iOS|"Walk at Lunch Day Challenge||This challenge ends soon. Make sure you track!"|challengeEnding|1
2021-04-28|Wed. 28 Apr. 2021|7985e0de-ec51-428c-ae66-64756aac1cab|iOS|"title EN-US||body EN-US"|insights|9
2021-04-28|Wed. 28 Apr. 2021|fe03fc7b-cc47-4b2a-9c5e-8a6fdeb37ec2|iOS|"Congratulations!||See what you just earned."|insights|5
2021-04-28|Wed. 28 Apr. 2021|fe03fc7b-cc47-4b2a-9c5e-8a6fdeb37ec2|iOS|"Hi||EN click it"|dailyReminder|1
2021-04-28|Wed. 28 Apr. 2021|4f272125-ca5b-4fc6-ab10-864e228e6d6b|iOS|"Congratulations!||See what you just earned."|insights|6
2021-04-28|Wed. 28 Apr. 2021|0fc8371f-66f5-464e-9d5f-6a12892e8561|Android|"Congratulations!|none|See what you just earned."|insights|5
2021-04-28|Wed. 28 Apr. 2021|c206cb75-1d40-43f2-8de0-c18851473965|iOS|::unspecified::|rewards|2
2021-04-28|Wed. 28 Apr. 2021|5f9e1303-57cf-48b3-9881-397707fc377d|iOS|"EN_US - Title||EN test test test test test test test test test test test test test test test test te"|none|2
2021-04-28|Wed. 28 Apr. 2021|ed7d6c8a-5a12-43c2-8eb6-4a56b94b8fff|iOS|::unspecified::|rewards|1
2021-04-28|Wed. 28 Apr. 2021|ed7d6c8a-5a12-43c2-8eb6-4a56b94b8fff|iOS|::unspecified::|healthDataUpdates|1
2021-04-28|Wed. 28 Apr. 2021|fadaecb9-0536-4370-adce-50d8daf85a47|Android|::unspecified::|rewards|1
2021-04-28|Wed. 28 Apr. 2021|fadaecb9-0536-4370-adce-50d8daf85a47|Android|::unspecified::|healthDataUpdates|1
2021-04-28|Wed. 28 Apr. 2021|fde72564-b4d2-4f53-862c-aa1f8c2a92b7|iOS|::unspecified::|rewards|2
2021-04-28|Wed. 28 Apr. 2021|68f6edc3-6317-4b82-8ac6-5f5a7184e62c|iOS|::unspecified::|rewards|1
2021-04-28|Wed. 28 Apr. 2021|68f6edc3-6317-4b82-8ac6-5f5a7184e62c|iOS|::unspecified::|healthDataUpdates|1
2021-04-28|Wed. 28 Apr. 2021|f9710e51-e06a-4278-bcd6-703201267dbc|iOS|::unspecified::|rewards|1
2021-04-28|Wed. 28 Apr. 2021|f9710e51-e06a-4278-bcd6-703201267dbc|iOS|::unspecified::|healthDataUpdates|1
2021-04-28|Wed. 28 Apr. 2021|ac4242a2-0b8e-4f02-9770-57764235c407|iOS|::unspecified::|rewards|1
2021-04-28|Wed. 28 Apr. 2021|ac4242a2-0b8e-4f02-9770-57764235c407|iOS|::unspecified::|healthDataUpdates|1
2021-04-28|Wed. 28 Apr. 2021|197aec2f-6223-43a8-b9b9-dd2dc5fcd8fe|Android|::unspecified::|rewards|2
2021-04-28|Wed. 28 Apr. 2021|2e07f150-dba7-4992-9e3e-f992be93d739|Android|::unspecified::|healthDataUpdates|2
2021-04-28|Wed. 28 Apr. 2021|517a370c-1e04-4ddd-9802-b27232d0a0dd|iOS|::unspecified::|healthDataUpdates|1
2021-04-28|Wed. 28 Apr. 2021|15ab1b27-731e-4301-8a72-10be391bd11c|Android|::unspecified::|healthDataUpdates|1
2021-04-28|Wed. 28 Apr. 2021|4c217493-6f9a-4624-8580-4cfc18a36791|iOS|::unspecified::|healthDataUpdates|1
2021-04-28|Wed. 28 Apr. 2021|60e1cd67-e1f8-4954-8227-1f3f26342222|Android|::unspecified::|healthDataUpdates|1
2021-04-28|Wed. 28 Apr. 2021|2786eae0-84b5-49fe-a30b-999685b804b3|iOS|::unspecified::|healthDataUpdates|1
2021-04-28|Wed. 28 Apr. 2021|86e79e54-273b-4c45-a61b-508a842dda6e|Android|::unspecified::|healthDataUpdates|1
2021-04-28|Wed. 28 Apr. 2021|54efc6b0-05c8-40ed-bf87-1d5dbd2259fc|iOS|::unspecified::|healthDataUpdates|1
2021-04-28|Wed. 28 Apr. 2021|c1b70064-7d7e-4e2c-9411-38a23c20f5de|iOS|"Take the First Step has now started.||Start Tracking!"|challenges|1
2021-04-28|Wed. 28 Apr. 2021|a7e873af-cdf5-46d5-89f8-6e48761d878d|iOS|::unspecified::|healthDataUpdates|1
