datetime|datetime_friendly
2021-06-12 00:00:00|Sat. 12 Jun. 2021
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)
2021-06-12 02:00:00|Sat. 12 Jun. 2021 (Hour 2)
2021-06-12 03:00:00|Sat. 12 Jun. 2021 (Hour 3)
2021-06-12 04:00:00|Sat. 12 Jun. 2021 (Hour 4)
2021-06-12 05:00:00|Sat. 12 Jun. 2021 (Hour 5)
2021-06-12 06:00:00|Sat. 12 Jun. 2021 (Hour 6)
2021-06-12 07:00:00|Sat. 12 Jun. 2021 (Hour 7)
2021-06-12 08:00:00|Sat. 12 Jun. 2021 (Hour 8)
2021-06-12 09:00:00|Sat. 12 Jun. 2021 (Hour 9)
2021-06-12 10:00:00|Sat. 12 Jun. 2021 (Hour 10)
2021-06-12 11:00:00|Sat. 12 Jun. 2021 (Hour 11)
2021-06-12 12:00:00|Sat. 12 Jun. 2021 (Hour 12)
2021-06-12 13:00:00|Sat. 12 Jun. 2021 (Hour 13)
2021-06-12 14:00:00|Sat. 12 Jun. 2021 (Hour 14)
2021-06-12 15:00:00|Sat. 12 Jun. 2021 (Hour 15)
2021-06-12 16:00:00|Sat. 12 Jun. 2021 (Hour 16)
2021-06-12 17:00:00|Sat. 12 Jun. 2021 (Hour 17)
2021-06-12 18:00:00|Sat. 12 Jun. 2021 (Hour 18)
2021-06-12 19:00:00|Sat. 12 Jun. 2021 (Hour 19)
2021-06-12 20:00:00|Sat. 12 Jun. 2021 (Hour 20)
2021-06-12 21:00:00|Sat. 12 Jun. 2021 (Hour 21)
2021-06-12 22:00:00|Sat. 12 Jun. 2021 (Hour 22)
2021-06-12 23:00:00|Sat. 12 Jun. 2021 (Hour 23)
