metric_id|entity|dims|upper_range|lower_range
100003001|10500001|Attempted|131.0|-85.0
100003001|10500002|Attempted|1313.75|-944.25
100003001|10500004|Attempted|1265.25|-912.75
100003001|10500005|Attempted|548.0|-420.0
100003001|10500006|Attempted|24.5|-23.5
100003001|10500007|Attempted|414.25|-403.75
100003001|10500008|Attempted|168.0|-80.0
100003001|10500023|Attempted|45.25|-20.75
100003001|10500024|Attempted|33.75|-8.25
100003001|134500001|Attempted|2.75|-3.25
100003001|13750020|Attempted|6.0|2.0
100003001|13750045|Attempted|49.5|-14.5
100003001|13750046|Attempted|27.5|-0.5
100003001|13750049|Attempted|14.0|-10.0
100003001|13750050|Attempted|14.75|-3.25
100003001|13750054|Attempted|5.0|-3.0
100003001|13750055|Attempted|45.0|-43.0
100003001|13750057|Attempted|24.0|0.0
100003001|13750059|Attempted|3.0|-1.0
100003001|13750063|Attempted|11.5|-0.5
100003001|13750065|Attempted|14.25|-7.75
100003001|16250001|Attempted|19.0|-21.0
100003001|17000001|Attempted|27.0|27.0
100003001|180000001|Attempted|2.5|-1.5
100003001|180000002|Attempted|0.0|0.0
100003001|18750001|Attempted|-167.75|-313.75
100003001|190250001|Attempted|2.75|-3.25
100003001|22500001|Attempted|39.0|-113.0
100003001|238250001|Attempted|103.0|-81.0
100003001|248750005|Attempted|6503.25|-4686.75
100003001|280000001|Attempted|21.0|-7.0
100003001|280000002|Attempted|2.5|-1.5
100003001|28000001|Attempted|0.5|0.5
100003001|28500001|Attempted|26248.0|-19284.0
100003001|28500002|Attempted|428.5|-247.5
100003001|28500003|Attempted|180.5|-107.5
100003001|28500004|Attempted|1588.0|-668.0
100003001|28750001|Attempted|158.0|-122.0
100003001|28750002|Attempted|275.75|-214.25
100003001|28750011|Attempted|2.5|-1.5
100003001|28750012|Attempted|1.75|-4.25
100003001|28750013|Attempted|5.0|-3.0
100003001|28750014|Attempted|2.75|-3.25
100003001|28750015|Attempted|17.75|-16.25
100003001|29000001|Attempted|177.75|-124.25
100003001|29250001|Attempted|551.0|-229.0
100003001|29250003|Attempted|276.75|-257.25
100003001|29500001|Attempted|311.25|-242.75
100003001|29750001|Attempted|794.75|-515.25
100003001|29750002|Attempted|123.25|-154.75
100003001|315250001|Attempted|9.25|3.25
100003001|32250001|Attempted|2.5|-1.5
100003001|32250003|Attempted|18.0|-2.0
100003001|33750004|Attempted|-127.0|-335.0
100003001|352000002|Attempted|2.75|0.75
100003001|352000004|Attempted|0.75|-1.25
100003001|352000006|Attempted|11.5|-4.5
100003001|35750001|Attempted|2.5|-1.5
100003001|35750003|Attempted|20.0|-4.0
100003001|37500002|Attempted|2.5|-1.5
100003001|38750001|Attempted|2411.0|-157.0
100003001|38750002|Attempted|2411.0|-157.0
100003001|38750003|Attempted|3000.0|-48.0
100003001|423000001|Attempted|133.0|-55.0
100003001|42500002|Attempted|2.5|-1.5
100003001|48750001|Attempted|6.25|0.25
100003001|50000001|Attempted|4.0|0.0
100003001|50000003|Attempted|2.25|-11.75
100003001|50000004|Attempted|0.0|0.0
100003001|50250001|Attempted|0.0|0.0
100003001|50250002|Attempted|0.25|-1.75
